name;length;10;20;30;40;50
>random_seq_from_cds__NO_47833;79;23;24;30;38;44;
>random_seq_from_cds__NO_9664;110;59;65;70;75;78;
>random_seq_from_cds__NO_53285;87;35;36;39;51;59;
>random_seq_from_cds__NO_23869;86;28;34;40;52;59;
>random_seq_from_cds__NO_56791;77;35;36;35;37;38;
>hsa-mir-3920 MI0016427 Homo sapiens miR-3920 stem-loop;86;2;2;2;2;2;
>hsa-mir-507 MI0003194 Homo sapiens miR-507 stem-loop;94;14;13;14;20;26;
>random_seq_from_cds__NO_22530;102;57;55;52;56;59;
>random_seq_from_cds__NO_23860;90;49;52;49;55;63;
>random_seq_from_cds__NO_36701;80;8;12;13;16;21;
>random_seq_from_cds__NO_12731;89;53;54;54;59;56;
>hsa-mir-625 MI0003639 Homo sapiens miR-625 stem-loop;85;1;1;1;1;2;
>hsa-mir-3661 MI0016062 Homo sapiens miR-3661 stem-loop;96;21;25;27;26;27;
>random_seq_from_cds__NO_65259;85;53;51;51;53;57;
>hsa-mir-1193 MI0014205 Homo sapiens miR-1193 stem-loop;78;8;8;11;14;21;
>hsa-mir-4527 MI0016894 Homo sapiens miR-4527 stem-loop;70;6;8;11;15;25;
>random_seq_from_cds__NO_21675;82;22;27;35;44;53;
>random_seq_from_cds__NO_60801;97;64;64;68;70;71;
>random_seq_from_cds__NO_24703;83;39;39;42;46;53;
>hsa-mir-95 MI0000097 Homo sapiens miR-95 stem-loop;81;3;4;3;6;9;
>hsa-mir-718 MI0012489 Homo sapiens miR-718 stem-loop;70;18;19;20;26;30;
>random_seq_from_cds__NO_31027;110;69;67;72;71;77;
>random_seq_from_cds__NO_42151;110;51;59;60;69;72;
>random_seq_from_cds__NO_23408;85;38;41;41;44;43;
>hsa-mir-4532 MI0016899 Homo sapiens miR-4532 stem-loop;51;6;7;7;10;16;
>hsa-mir-3179-3 MI0014221 Homo sapiens miR-3179-3 stem-loop;84;3;3;2;2;3;
>hsa-mir-920 MI0005712 Homo sapiens miR-920 stem-loop;75;12;12;16;25;39;
>hsa-mir-767 MI0003763 Homo sapiens miR-767 stem-loop;109;11;14;14;18;19;
>hsa-mir-5583-2 MI0019140 Homo sapiens miR-5583-2 stem-loop;59;3;4;4;6;6;
>hsa-mir-4253 MI0015860 Homo sapiens miR-4253 stem-loop;68;18;23;26;35;39;
>random_seq_from_cds__NO_43452;95;67;70;70;72;77;
>hsa-mir-4676 MI0017307 Homo sapiens miR-4676 stem-loop;72;3;4;4;5;5;
>random_seq_from_cds__NO_67895;81;39;45;45;50;54;
>hsa-mir-4534 MI0016901 Homo sapiens miR-4534 stem-loop;60;7;8;9;12;17;
>random_seq_from_cds__NO_24721;81;38;42;42;44;46;
>random_seq_from_cds__NO_21696;84;37;45;43;55;51;
>random_seq_from_cds__NO_32331;97;40;41;48;55;65;
>random_seq_from_cds__NO_23876;84;33;38;39;42;43;
>random_seq_from_cds__NO_17197;82;35;36;43;48;50;
>hsa-mir-4749 MI0017388 Homo sapiens miR-4749 stem-loop;61;14;15;20;22;26;
>random_seq_from_cds__NO_9647;94;56;68;67;67;70;
>random_seq_from_cds__NO_45640;84;36;40;43;49;46;
>hsa-mir-4746 MI0017385 Homo sapiens miR-4746 stem-loop;71;13;17;20;26;29;
>random_seq_from_cds__NO_43038;86;50;54;52;56;54;
>random_seq_from_cds__NO_57202;68;22;26;30;31;30;
>random_seq_from_cds__NO_31052;88;39;39;46;54;53;
>hsa-mir-1343 MI0017320 Homo sapiens miR-1343 stem-loop;84;24;19;18;22;24;
>hsa-mir-4802 MI0017450 Homo sapiens miR-4802 stem-loop;80;9;9;11;14;20;
>random_seq_from_cds__NO_66150;110;66;67;63;71;69;
>hsa-mir-581 MI0003588 Homo sapiens miR-581 stem-loop;96;8;8;9;14;16;
>random_seq_from_cds__NO_68327;87;50;54;51;59;61;
>random_seq_from_cds__NO_12762;90;19;19;24;29;43;
>random_seq_from_cds__NO_44377;64;22;21;22;26;27;
>hsa-mir-597 MI0003609 Homo sapiens miR-597 stem-loop;97;15;15;19;20;23;
>random_seq_from_cds__NO_19392;87;51;57;60;61;60;
>random_seq_from_cds__NO_23899;88;47;56;55;58;65;
>hsa-mir-3664 MI0016065 Homo sapiens miR-3664 stem-loop;99;7;8;10;13;11;
>hsa-mir-498 MI0003142 Homo sapiens miR-498 stem-loop;124;8;8;9;8;11;
>random_seq_from_cds__NO_23890;71;32;36;37;39;42;
>random_seq_from_cds__NO_8775;72;32;35;35;42;34;
>hsa-mir-3164 MI0014194 Homo sapiens miR-3164 stem-loop;83;10;10;9;7;10;
>hsa-mir-4718 MI0017353 Homo sapiens miR-4718 stem-loop;51;3;4;4;10;20;
>hsa-mir-18b MI0001518 Homo sapiens miR-18b stem-loop;71;30;29;29;34;37;
>random_seq_from_cds__NO_58524;89;45;50;51;55;52;
>hsa-mir-548ak MI0016840 Homo sapiens miR-548ak stem-loop;57;1;1;1;1;1;
>hsa-mir-371b MI0017393 Homo sapiens miR-371b stem-loop;66;7;10;8;12;16;
>random_seq_from_cds__NO_32398;84;36;38;43;44;49;
>hsa-mir-641 MI0003656 Homo sapiens miR-641 stem-loop;99;9;9;10;13;15;
>hsa-mir-4282 MI0015890 Homo sapiens miR-4282 stem-loop;67;7;8;7;10;15;
>random_seq_from_cds__NO_10585;110;67;68;70;68;72;
>random_seq_from_cds__NO_29199;73;34;34;35;40;39;
>hsa-mir-3657 MI0016057 Homo sapiens miR-3657 stem-loop;117;8;8;10;14;18;
>random_seq_from_cds__NO_46526;86;51;52;58;63;65;
>random_seq_from_cds__NO_13640;75;41;37;39;44;47;
>random_seq_from_cds__NO_34542;84;44;47;50;53;57;
>hsa-mir-765 MI0005116 Homo sapiens miR-765 stem-loop;114;66;69;67;58;70;
>random_seq_from_cds__NO_26957;94;65;60;57;60;61;
>hsa-mir-3132 MI0014152 Homo sapiens miR-3132 stem-loop;75;6;6;7;15;20;
>random_seq_from_cds__NO_3058;81;38;42;44;46;49;
>random_seq_from_cds__NO_56335;81;38;43;43;47;53;
>hsa-mir-5092 MI0017981 Homo sapiens miR-5092 stem-loop;88;6;7;10;14;17;
>random_seq_from_cds__NO_22111;84;47;52;51;58;59;
>hsa-mir-3910-1 MI0016414 Homo sapiens miR-3910-1 stem-loop;111;9;11;13;18;19;
>hsa-mir-548a-1 MI0003593 Homo sapiens miR-548a-1 stem-loop;97;18;20;21;42;47;
>random_seq_from_cds__NO_36726;84;42;50;47;56;57;
>hsa-mir-638 MI0003653 Homo sapiens miR-638 stem-loop;100;60;64;62;69;74;
>hsa-mir-4461 MI0016807 Homo sapiens miR-4461 stem-loop;74;25;28;33;45;53;
>random_seq_from_cds__NO_48717;100;65;65;69;75;79;
>hsa-mir-1205 MI0006338 Homo sapiens miR-1205 stem-loop;63;14;16;17;21;26;
>hsa-mir-873 MI0005564 Homo sapiens miR-873 stem-loop;77;10;10;10;11;15;
>random_seq_from_cds__NO_24766;72;32;31;32;37;37;
>hsa-mir-4668 MI0017298 Homo sapiens miR-4668 stem-loop;70;11;11;12;13;16;
>hsa-mir-4781 MI0017426 Homo sapiens miR-4781 stem-loop;76;1;1;1;2;2;
>random_seq_from_cds__NO_63090;110;71;75;73;71;70;
>random_seq_from_cds__NO_58503;75;20;20;22;21;26;
>random_seq_from_cds__NO_23431;81;32;30;34;35;41;
>random_seq_from_cds__NO_65275;72;28;25;29;39;39;
>hsa-mir-4476 MI0016828 Homo sapiens miR-4476 stem-loop;70;6;6;6;8;8;
>hsa-mir-24-1 MI0000080 Homo sapiens miR-24-1 stem-loop;68;14;16;17;17;19;
>random_seq_from_cds__NO_64456;65;17;17;16;24;29;
>random_seq_from_cds__NO_16377;81;32;40;41;49;53;
>hsa-mir-606 MI0003619 Homo sapiens miR-606 stem-loop;96;4;4;5;10;13;
>hsa-mir-421 MI0003685 Homo sapiens miR-421 stem-loop;85;5;7;7;9;16;
>random_seq_from_cds__NO_72076;95;64;61;63;68;69;
>hsa-mir-3119-2 MI0014135 Homo sapiens miR-3119-2 stem-loop;85;6;8;9;10;10;
>random_seq_from_cds__NO_30204;71;35;35;38;40;44;
>hsa-mir-4508 MI0016872 Homo sapiens miR-4508 stem-loop;70;34;32;34;30;34;
>hsa-mir-589 MI0003599 Homo sapiens miR-589 stem-loop;99;28;24;24;29;41;
>random_seq_from_cds__NO_53324;71;33;35;35;43;44;
>hsa-mir-134 MI0000474 Homo sapiens miR-134 stem-loop;73;15;15;14;17;18;
>random_seq_from_cds__NO_292;78;45;47;45;48;50;
>random_seq_from_cds__NO_27020;94;62;66;70;75;75;
>random_seq_from_cds__NO_28352;95;35;46;53;70;76;
>random_seq_from_cds__NO_3959;67;19;21;23;31;33;
>hsa-mir-4322 MI0015851 Homo sapiens miR-4322 stem-loop;73;15;15;26;30;34;
>hsa-mir-542 MI0003686 Homo sapiens miR-542 stem-loop;97;22;26;27;34;44;
>hsa-mir-337 MI0000806 Homo sapiens miR-337 stem-loop;93;6;7;8;10;12;
>hsa-mir-212 MI0000288 Homo sapiens miR-212 stem-loop;110;32;40;44;67;78;
>hsa-mir-1825 MI0008193 Homo sapiens miR-1825 stem-loop;53;7;8;8;11;12;
>hsa-mir-3675 MI0016076 Homo sapiens miR-3675 stem-loop;73;15;16;16;24;33;
>hsa-mir-346 MI0000826 Homo sapiens miR-346 stem-loop;95;9;17;22;39;51;
>random_seq_from_cds__NO_29673;100;71;71;70;75;75;
>random_seq_from_cds__NO_54646;84;46;47;50;55;57;
>hsa-mir-1302-6 MI0006367 Homo sapiens miR-1302-6 stem-loop;90;16;22;28;30;44;
>hsa-mir-532 MI0003205 Homo sapiens miR-532 stem-loop;91;36;39;40;49;53;
>hsa-mir-3670-2 MI0019112 Homo sapiens miR-3670-2 stem-loop;65;6;8;11;20;26;
>random_seq_from_cds__NO_60081;84;44;48;49;50;55;
>random_seq_from_cds__NO_67942;85;49;50;48;50;59;
>random_seq_from_cds__NO_62257;80;39;42;40;46;52;
>random_seq_from_cds__NO_63587;68;28;32;33;35;38;
>hsa-mir-548at MI0019137 Homo sapiens miR-548at stem-loop;58;1;2;2;3;4;
>hsa-mir-3925 MI0016433 Homo sapiens miR-3925 stem-loop;77;7;7;8;8;8;
>random_seq_from_cds__NO_66616;75;18;22;24;32;38;
>hsa-mir-619 MI0003633 Homo sapiens miR-619 stem-loop;99;65;65;68;79;76;
>hsa-mir-5571 MI0019115 Homo sapiens miR-5571 stem-loop;113;19;20;22;30;32;
>random_seq_from_cds__NO_55964;95;68;69;68;72;69;
>random_seq_from_cds__NO_31514;80;35;38;37;46;49;
>random_seq_from_cds__NO_50276;81;40;41;47;59;54;
>hsa-mir-769 MI0003834 Homo sapiens miR-769 stem-loop;118;49;51;52;53;65;
>random_seq_from_cds__NO_51121;89;49;50;51;56;61;
>hsa-mir-4294 MI0015827 Homo sapiens miR-4294 stem-loop;76;11;13;15;19;23;
>random_seq_from_cds__NO_31992;77;43;44;45;47;45;
>hsa-mir-374b MI0005566 Homo sapiens miR-374b stem-loop;72;5;7;7;7;8;
>random_seq_from_cds__NO_3933;82;31;31;34;39;43;
>hsa-mir-4662b MI0017293 Homo sapiens miR-4662b stem-loop;81;5;5;5;9;11;
>hsa-mir-6083 MI0020360 Homo sapiens miR-6083 stem-loop;106;65;63;67;68;75;
>random_seq_from_cds__NO_27042;78;37;39;39;42;47;
>random_seq_from_cds__NO_47099;86;43;43;47;48;47;
>random_seq_from_cds__NO_27041;70;25;29;34;45;41;
>hsa-mir-6134 MI0021279 Homo sapiens miR-6134 stem-loop;109;56;53;56;61;60;
>random_seq_from_cds__NO_21738;100;58;58;59;57;65;
>random_seq_from_cds__NO_17238;90;26;25;38;57;59;
>hsa-mir-202 MI0003130 Homo sapiens miR-202 stem-loop;110;11;12;12;15;20;
>random_seq_from_cds__NO_15058;90;51;53;59;60;65;
>random_seq_from_cds__NO_51592;84;40;43;42;48;53;
>hsa-mir-4660 MI0017288 Homo sapiens miR-4660 stem-loop;74;6;9;14;21;25;
>random_seq_from_cds__NO_53777;81;45;46;46;47;47;
>hsa-mir-214 MI0000290 Homo sapiens miR-214 stem-loop;110;12;13;12;12;14;
>random_seq_from_cds__NO_43980;90;39;36;37;41;47;
>random_seq_from_cds__NO_51118;71;27;29;32;34;39;
>hsa-mir-676 MI0016436 Homo sapiens miR-676 stem-loop;67;2;2;4;6;7;
>hsa-mir-5585 MI0019142 Homo sapiens miR-5585 stem-loop;59;10;8;8;9;15;
>hsa-mir-6721 MI0022556 Homo sapiens miR-6721 stem-loop;87;46;44;46;53;55;
>random_seq_from_cds__NO_6192;110;47;51;67;70;75;
>hsa-mir-1236 MI0006326 Homo sapiens miR-1236 stem-loop;102;33;36;37;45;61;
>random_seq_from_cds__NO_17263;84;39;42;45;53;54;
>hsa-mir-572 MI0003579 Homo sapiens miR-572 stem-loop;95;11;14;26;47;49;
>hsa-mir-98 MI0000100 Homo sapiens miR-98 stem-loop;119;10;10;13;17;20;
>random_seq_from_cds__NO_39055;73;15;19;24;29;33;
>hsa-mir-493 MI0003132 Homo sapiens miR-493 stem-loop;89;10;11;12;14;14;
>random_seq_from_cds__NO_55544;78;42;44;45;47;50;
>hsa-mir-2909 MI0013083 Homo sapiens miR-2909 stem-loop;69;17;19;21;29;33;
>hsa-mir-4441 MI0016784 Homo sapiens miR-4441 stem-loop;100;17;19;18;18;20;
>hsa-mir-944 MI0005769 Homo sapiens miR-944 stem-loop;88;5;7;9;10;10;
>random_seq_from_cds__NO_66664;99;51;56;64;73;64;
>random_seq_from_cds__NO_40058;88;34;42;41;53;61;
>hsa-mir-193a MI0000487 Homo sapiens miR-193a stem-loop;88;14;13;12;13;14;
>random_seq_from_cds__NO_7051;96;58;57;65;65;68;
>hsa-mir-1249 MI0006384 Homo sapiens miR-1249 stem-loop;66;11;11;13;16;16;
>hsa-mir-4267 MI0015871 Homo sapiens miR-4267 stem-loop;82;34;33;31;32;33;
>hsa-mir-1290 MI0006352 Homo sapiens miR-1290 stem-loop;78;31;30;31;34;35;
>random_seq_from_cds__NO_57718;71;30;35;38;40;41;
>hsa-mir-3198-2 MI0017335 Homo sapiens miR-3198-2 stem-loop;80;4;4;5;6;8;
>hsa-mir-4689 MI0017322 Homo sapiens miR-4689 stem-loop;70;4;5;5;6;9;
>random_seq_from_cds__NO_19461;84;37;42;46;63;56;
>random_seq_from_cds__NO_67509;90;49;48;55;66;66;
>hsa-mir-181d MI0003139 Homo sapiens miR-181d stem-loop;137;14;16;17;25;30;
>hsa-mir-1256 MI0006390 Homo sapiens miR-1256 stem-loop;119;42;41;44;50;55;
>hsa-mir-6077-2 MI0023562 Homo sapiens miR-6077-2 stem-loop;82;11;14;17;32;50;
>hsa-mir-409 MI0001735 Homo sapiens miR-409 stem-loop;79;10;9;9;13;16;
>hsa-mir-5684 MI0019285 Homo sapiens miR-5684 stem-loop;65;2;2;3;5;6;
>hsa-mir-4632 MI0017259 Homo sapiens miR-4632 stem-loop;61;5;6;9;15;16;
>hsa-mir-508 MI0003195 Homo sapiens miR-508 stem-loop;115;18;21;24;29;32;
>random_seq_from_cds__NO_11983;89;45;47;48;52;58;
>random_seq_from_cds__NO_3908;72;24;23;30;31;38;
>hsa-mir-630 MI0003644 Homo sapiens miR-630 stem-loop;97;37;39;46;65;65;
>hsa-mir-4259 MI0015858 Homo sapiens miR-4259 stem-loop;101;46;52;55;63;70;
>hsa-mir-3195 MI0014240 Homo sapiens miR-3195 stem-loop;84;30;31;37;39;44;
>random_seq_from_cds__NO_42218;89;43;45;47;50;50;
>hsa-mir-5188 MI0018167 Homo sapiens miR-5188 stem-loop;113;20;21;22;30;36;
>hsa-mir-375 MI0000783 Homo sapiens miR-375 stem-loop;64;18;20;18;19;23;
>random_seq_from_cds__NO_31562;68;23;24;25;32;34;
>hsa-mir-4480 MI0016841 Homo sapiens miR-4480 stem-loop;71;14;12;14;11;10;
>hsa-mir-3150a MI0014177 Homo sapiens miR-3150a stem-loop;80;3;4;4;4;5;
>random_seq_from_cds__NO_3903;110;64;68;71;68;71;
>random_seq_from_cds__NO_58173;85;52;57;65;70;69;
>random_seq_from_cds__NO_36386;86;45;45;54;66;65;
>hsa-mir-497 MI0003138 Homo sapiens miR-497 stem-loop;112;27;30;34;45;52;
>hsa-mir-4728 MI0017365 Homo sapiens miR-4728 stem-loop;67;9;9;11;14;24;
>hsa-mir-7-1 MI0000263 Homo sapiens miR-7-1 stem-loop;110;15;17;19;23;33;
>random_seq_from_cds__NO_11087;87;36;39;40;57;59;
>hsa-mir-500a MI0003184 Homo sapiens miR-500a stem-loop;84;12;13;17;19;24;
>hsa-mir-1285-2 MI0006347 Homo sapiens miR-1285-2 stem-loop;88;41;44;46;53;57;
>hsa-mir-2355 MI0015873 Homo sapiens miR-2355 stem-loop;87;8;8;11;23;32;
>hsa-mir-126 MI0000471 Homo sapiens miR-126 stem-loop;85;7;8;7;8;12;
>random_seq_from_cds__NO_4886;65;29;29;31;31;32;
>random_seq_from_cds__NO_30607;92;40;45;46;56;65;
>random_seq_from_cds__NO_18957;80;42;47;48;53;59;
>hsa-mir-4312 MI0015842 Homo sapiens miR-4312 stem-loop;76;10;13;14;14;23;
>hsa-mir-4736 MI0017373 Homo sapiens miR-4736 stem-loop;47;24;25;26;34;39;
>random_seq_from_cds__NO_39423;82;32;38;37;48;53;
>hsa-mir-933 MI0005755 Homo sapiens miR-933 stem-loop;77;15;17;17;27;32;
>hsa-mir-425 MI0001448 Homo sapiens miR-425 stem-loop;87;15;16;18;30;40;
>random_seq_from_cds__NO_41746;88;32;37;42;66;68;
>hsa-mir-302f MI0006418 Homo sapiens miR-302f stem-loop;51;8;8;9;15;9;
>random_seq_from_cds__NO_50684;84;13;14;20;29;40;
>hsa-mir-3940 MI0016597 Homo sapiens miR-3940 stem-loop;102;27;26;28;31;32;
>hsa-mir-1268b MI0016748 Homo sapiens miR-1268b stem-loop;50;9;12;17;17;19;
>hsa-mir-1293 MI0006355 Homo sapiens miR-1293 stem-loop;71;2;2;3;6;6;
>hsa-mir-561 MI0003567 Homo sapiens miR-561 stem-loop;97;5;5;5;6;9;
>hsa-mir-1537 MI0007258 Homo sapiens miR-1537 stem-loop;61;3;3;3;5;9;
>random_seq_from_cds__NO_46198;110;70;72;72;70;68;
>hsa-mir-4791 MI0017438 Homo sapiens miR-4791 stem-loop;84;14;16;15;21;26;
>random_seq_from_cds__NO_63982;67;33;35;35;37;40;
>hsa-mir-495 MI0003135 Homo sapiens miR-495 stem-loop;82;4;4;7;14;20;
>hsa-mir-4772 MI0017414 Homo sapiens miR-4772 stem-loop;78;3;3;3;3;3;
>hsa-mir-2964a MI0017299 Homo sapiens miR-2964a stem-loop;88;16;20;23;30;51;
>hsa-mir-135b MI0000810 Homo sapiens miR-135b stem-loop;97;15;16;17;15;16;
>hsa-mir-135a-2 MI0000453 Homo sapiens miR-135a-2 stem-loop;100;12;13;18;28;30;
>hsa-mir-139 MI0000261 Homo sapiens miR-139 stem-loop;68;11;12;11;14;18;
>random_seq_from_cds__NO_1352;82;39;39;38;48;45;
>hsa-mir-3157 MI0014185 Homo sapiens miR-3157 stem-loop;85;9;12;11;13;14;
>hsa-mir-3199-2 MI0014248 Homo sapiens miR-3199-2 stem-loop;86;2;2;3;3;3;
>hsa-mir-329-1 MI0001725 Homo sapiens miR-329-1 stem-loop;80;5;5;5;7;8;
>random_seq_from_cds__NO_26115;67;25;29;32;37;39;
>random_seq_from_cds__NO_2686;86;48;54;55;64;69;
>hsa-mir-3192 MI0014237 Homo sapiens miR-3192 stem-loop;77;7;6;8;11;11;
>hsa-mir-4269 MI0015875 Homo sapiens miR-4269 stem-loop;84;12;15;17;32;43;
>hsa-mir-574 MI0003581 Homo sapiens miR-574 stem-loop;96;9;11;14;17;20;
>random_seq_from_cds__NO_53707;101;66;69;74;69;73;
>hsa-mir-4518 MI0016884 Homo sapiens miR-4518 stem-loop;83;35;36;41;49;49;
>random_seq_from_cds__NO_20800;94;52;62;61;62;70;
>random_seq_from_cds__NO_39883;84;49;47;52;50;56;
>hsa-mir-3201 MI0014250 Homo sapiens miR-3201 stem-loop;52;2;2;3;4;5;
>hsa-mir-4512 MI0016878 Homo sapiens miR-4512 stem-loop;77;3;3;3;6;6;
>random_seq_from_cds__NO_39404;84;40;43;48;52;51;
>random_seq_from_cds__NO_14124;106;53;63;78;77;81;
>hsa-mir-4685 MI0017317 Homo sapiens miR-4685 stem-loop;69;6;6;8;13;20;
>random_seq_from_cds__NO_57295;89;51;54;55;62;66;
>hsa-mir-762 MI0003892 Homo sapiens miR-762 stem-loop;83;16;18;19;20;19;
>random_seq_from_cds__NO_7901;96;57;56;58;66;67;
>random_seq_from_cds__NO_50668;89;46;52;57;62;64;
>random_seq_from_cds__NO_51516;95;58;57;65;63;68;
>random_seq_from_cds__NO_50669;77;27;31;33;39;42;
>hsa-mir-3129 MI0014146 Homo sapiens miR-3129 stem-loop;76;5;5;4;3;3;
>random_seq_from_cds__NO_37229;83;35;28;34;40;47;
>hsa-mir-17 MI0000071 Homo sapiens miR-17 stem-loop;84;17;18;20;27;34;
>hsa-mir-3189 MI0014233 Homo sapiens miR-3189 stem-loop;73;12;12;12;15;19;
>hsa-mir-1281 MI0006428 Homo sapiens miR-1281 stem-loop;54;3;3;4;6;6;
>hsa-mir-3912 MI0016416 Homo sapiens miR-3912 stem-loop;105;3;4;4;10;11;
>random_seq_from_cds__NO_65743;70;29;30;32;31;31;
>hsa-mir-744 MI0005559 Homo sapiens miR-744 stem-loop;98;31;30;30;42;48;
>hsa-mir-138-1 MI0000476 Homo sapiens miR-138-1 stem-loop;99;12;12;12;10;10;
>hsa-mir-186 MI0000483 Homo sapiens miR-186 stem-loop;86;2;4;5;6;8;
>hsa-mir-4730 MI0017367 Homo sapiens miR-4730 stem-loop;76;24;25;24;32;35;
>random_seq_from_cds__NO_51101;70;28;27;30;35;34;
>random_seq_from_cds__NO_71181;86;38;44;49;61;68;
>random_seq_from_cds__NO_32829;73;31;35;35;44;46;
>hsa-mir-378g MI0016761 Homo sapiens miR-378g stem-loop;41;3;3;3;6;7;
>random_seq_from_cds__NO_62222;68;30;32;32;38;40;
>random_seq_from_cds__NO_61379;67;16;18;22;29;31;
>hsa-mir-668 MI0003761 Homo sapiens miR-668 stem-loop;66;9;9;10;20;23;
>random_seq_from_cds__NO_41306;110;74;75;81;81;80;
>hsa-mir-152 MI0000462 Homo sapiens miR-152 stem-loop;87;20;21;20;18;20;
>hsa-mir-4646 MI0017273 Homo sapiens miR-4646 stem-loop;63;4;4;4;10;12;
>random_seq_from_cds__NO_51578;72;28;31;34;41;45;
>random_seq_from_cds__NO_4855;110;43;42;48;60;79;
>random_seq_from_cds__NO_17658;73;15;19;23;29;31;
>hsa-mir-664a MI0006442 Homo sapiens miR-664 stem-loop;82;10;11;11;15;19;
>hsa-mir-187 MI0000274 Homo sapiens miR-187 stem-loop;109;36;40;44;48;48;
>random_seq_from_cds__NO_60030;68;23;26;29;29;32;
>random_seq_from_cds__NO_37253;82;34;41;41;49;47;
>random_seq_from_cds__NO_62693;90;60;65;71;72;70;
>random_seq_from_cds__NO_38589;69;33;34;32;39;41;
>hsa-mir-423 MI0001445 Homo sapiens miR-423 stem-loop;94;11;12;12;13;14;
>random_seq_from_cds__NO_72010;78;31;34;39;48;40;
>hsa-mir-559 MI0003565 Homo sapiens miR-559 stem-loop;96;4;4;4;6;8;
>hsa-mir-3115 MI0014127 Homo sapiens miR-3115 stem-loop;68;5;6;8;13;17;
>hsa-mir-448 MI0001637 Homo sapiens miR-448 stem-loop;111;15;18;24;23;22;
>random_seq_from_cds__NO_26159;86;43;43;39;43;47;
>hsa-mir-4251 MI0015861 Homo sapiens miR-4251 stem-loop;61;12;15;18;24;23;
>random_seq_from_cds__NO_30629;75;29;33;33;35;33;
>hsa-mir-4308 MI0015839 Homo sapiens miR-4308 stem-loop;81;9;9;10;11;15;
>hsa-mir-4635 MI0017262 Homo sapiens miR-4635 stem-loop;79;11;12;14;16;15;
>hsa-mir-3620 MI0016011 Homo sapiens miR-3620 stem-loop;79;19;20;21;29;37;
>hsa-mir-4786 MI0017433 Homo sapiens miR-4786 stem-loop;80;10;14;17;20;19;
>hsa-mir-4760 MI0017401 Homo sapiens miR-4760 stem-loop;80;7;8;10;11;12;
>hsa-mir-4426 MI0016765 Homo sapiens miR-4426 stem-loop;63;18;20;27;34;32;
>random_seq_from_cds__NO_43946;73;31;32;33;37;45;
>hsa-mir-4323 MI0015853 Homo sapiens miR-4323 stem-loop;69;5;7;8;16;17;
>hsa-mir-6131 MI0021276 Homo sapiens miR-6131 stem-loop;109;63;75;73;75;76;
>hsa-mir-4682 MI0017314 Homo sapiens miR-4682 stem-loop;80;13;14;12;16;18;
>random_seq_from_cds__NO_55911;81;37;38;40;51;54;
>random_seq_from_cds__NO_48391;79;34;37;41;45;50;
>random_seq_from_cds__NO_53733;80;42;47;51;53;58;
>random_seq_from_cds__NO_29656;95;42;45;46;81;86;
>hsa-mir-4486 MI0016847 Homo sapiens miR-4486 stem-loop;63;13;14;17;22;26;
>hsa-mir-3126 MI0014143 Homo sapiens miR-3126 stem-loop;74;14;14;15;16;17;
>hsa-mir-4538 MI0016909 Homo sapiens miR-4538 stem-loop;78;32;27;25;25;27;
>random_seq_from_cds__NO_4838;84;27;31;33;52;56;
